1.298371,0.306201,
2.270691,0.333372,
1.385902,0.316009,
1.420683,0.326206,
1.249237,0.308701,
1.249384,0.352857,
1.490718,0.299775,
1.395868,0.314822,
1.302828,0.30882,
1.369765,0.326039,
1.269455,0.32131,
1.292298,0.312779,
1.522171,0.296402,
1.235106,0.336837,
1.357276,0.333911,
1.461445,0.328054,
1.319818,0.327375,
1.35244,0.343629,
1.363608,0.3124,
1.371787,0.313427,0.352857
1.379631,0.320244,
1.294535,0.296787,
1.595513,0.301521,
1.315483,0.290658,
1.485778,0.341607,
1.372391,0.292515,
1.938755,0.307424,
1.586013,0.314995,
1.336478,0.301738,
1.287261,0.301213,
1.329559,0.294222,
1.40944,0.336517,
1.327065,0.295491,
1.43518,0.3354,
1.244037,0.291561,
1.356529,0.299595,
1.927418,0.289702,
1.272299,0.320882,
1.358886,0.339511,
1.378585,0.305634,
1.236289,0.291056,
1.439984,0.297981,
1.45888,0.303864,
1.327521,0.299359,
1.363715,0.322177,
1.421623,0.298586,
1.24293,0.293799,
1.366593,0.298693,
1.51888,0.315303,
1.27647,0.340893,
1.3636615,0.31061,
